game,date,player 1,player 2,winner
223,29,1429,2524,0
224,29,755,2490,1
225,29,1841,5612,0
226,29,1047,4029,0
227,29,3926,152,2
228,29,1039,1428,2
229,29,2665,493,0
230,29,4576,3031,1
231,29,969,1010,0
232,29,3057,3219,0
233,29,5783,179,2
234,29,2612,3808,0
235,29,4781,4597,0
236,29,5557,2169,0
237,29,5659,4222,1
238,29,4314,4101,0
239,29,2382,3017,0
240,29,2169,1362,2
241,29,755,2819,0
242,29,1047,1841,0
243,29,152,1429,2
244,29,5160,5621,0
245,29,1126,1039,2
246,29,3049,4007,1
247,29,1005,4781,1
248,29,1428,5384,0
249,29,3057,550,0
250,29,2665,4576,0
251,29,969,5654,0
252,29,1428,5131,1
253,29,2255,2664,1
254,29,5783,179,2
255,29,5658,5826,2
256,29,5384,2444,2
257,29,4249,3049,1
258,29,5131,2524,1
259,29,1429,2382,0
260,29,4226,1115,1
261,29,3017,1876,2
262,29,148,4101,2
263,29,1047,152,0
264,29,1841,2604,0
265,29,179,5131,1
266,29,4781,1005,0
267,29,3517,1262,0
268,29,550,2665,2
269,29,2819,2169,0
270,29,1039,4597,0
271,29,3620,2589,2
272,29,5557,3057,0
273,29,2524,5759,0
274,29,11,3173,2
275,29,2075,1658,1
276,29,2027,969,2
277,29,2515,5442,0
278,29,3057,5557,1
279,29,2255,3926,0
280,29,1428,2056,0
281,29,2343,3025,2
282,29,3679,1658,1
283,29,5384,2681,0
284,29,4769,4618,2
285,29,1965,2263,2
286,29,1362,2583,0
287,29,4249,4222,0
288,29,5783,3049,0
289,29,1667,5814,0
290,29,3933,3771,2
291,29,4946,5764,2
292,29,5442,4597,1
293,29,152,148,0
294,29,1876,3461,1
295,29,2382,1429,2
296,29,4101,5654,0
297,29,1678,1841,2
298,29,2665,550,0
299,29,2819,4781,2
300,29,1826,1039,2
301,29,1043,179,2
302,29,1005,5101,1
303,29,3926,5557,2
304,29,3057,3599,1
305,29,3173,969,1
306,29,2166,2783,0
307,29,4073,2589,2
308,29,1320,1005,1
309,29,5759,11,0
310,29,2515,5752,2
311,29,1362,4618,2
312,29,5744,1428,2
313,29,3017,4769,2
314,29,4719,3517,2
315,29,1064,3933,0
316,29,5067,2681,0
317,29,1667,2524,2
318,29,2583,148,0
319,29,3142,3167,2
320,29,550,2665,2
321,29,5752,5759,1
322,29,5128,5973,0
323,29,2249,3461,2
324,29,2346,1841,2
325,29,5160,2141,0
326,29,3679,4781,0
327,29,4687,1429,2
328,29,2075,5437,2
329,29,179,1039,2
330,29,5101,3057,2
331,29,3461,1262,0
332,29,969,2166,1
333,29,4739,5557,2
334,29,4073,4657,2
335,29,1362,1005,0
336,29,1064,5744,0
337,29,2524,5067,2
338,29,1841,2665,2
339,29,4249,2515,2
340,29,5303,148,0
341,29,3167,4166,0
342,29,1876,1050,2
343,29,4007,4791,0
344,29,3142,2141,2
345,29,2075,5832,2
346,29,179,4222,1
347,29,1320,3163,1
348,29,2633,1320,1
349,29,5101,5291,2
350,29,3461,2166,2
351,29,2664,5557,2
352,29,4073,1395,1
353,29,969,3915,0
354,29,291,1320,1
355,29,5973,3973,1
356,29,1362,2345,0
357,29,2665,5067,0
358,29,4791,802,2
359,29,965,2346,0
360,29,1064,2382,0
361,29,1005,5744,0
362,29,5337,1841,2
363,29,802,1039,2
364,29,3766,45,2
365,29,4007,1050,2
366,29,5820,5211,0
367,29,3057,5557,2
368,29,2249,1326,2
369,29,5067,2665,2
370,29,4073,3461,0
371,29,2664,5844,0
372,29,3915,2633,1
373,29,3809,2681,1
374,29,276,4791,0
375,29,1064,5826,2
376,29,2346,2345,0
377,29,3153,5832,2
378,29,1117,5557,2
379,29,5400,1039,2
380,29,1123,2335,0
381,29,1841,5337,2
382,29,148,3766,2
383,29,5131,5400,1
384,29,1652,3153,2
385,29,2681,5131,1
386,29,4815,5211,2
387,29,86,3909,1
388,29,3461,5067,2
389,29,4073,1050,2
390,29,1602,2702,2
391,29,1326,3809,0
392,29,5067,5131,1
393,29,1064,1010,0
394,29,966,752,1
395,29,5832,11,0
396,29,4245,5557,2
397,29,1039,1841,0
398,29,2490,4788,2
399,29,148,5337,2
400,29,2343,2764,2
401,29,2490,4019,1
402,29,3766,5400,2
403,29,768,802,1
404,29,2681,5067,2
405,29,2075,276,2
406,29,5211,4815,0
407,29,31,2629,0
408,29,86,1530,0
409,29,1395,3809,1
410,29,2565,1669,0
411,29,1010,1064,2
412,29,3909,2702,2
413,29,4346,30,0
414,29,5557,5832,0
415,29,1602,1841,2
416,29,1039,752,0
417,29,3672,148,0
418,29,5337,12,0
419,29,2764,2490,1
420,29,5400,5855,0
421,29,2343,2834,2
422,29,5067,4815,0
423,29,179,1876,0
424,29,5557,1841,0
425,29,3752,2629,0
426,29,566,5744,1
427,29,2874,1530,2
428,29,4295,4781,1
429,29,31,2604,1
430,29,3809,1395,0
431,29,2228,4595,1
432,29,756,2565,0
433,29,1064,1010,2
434,29,3909,2702,0
435,29,1505,5879,0
436,29,1039,148,0
437,29,1602,1396,1
438,29,1117,2676,2
439,29,2764,5855,2
440,29,1047,3672,0
441,29,1137,5491,2
442,29,5557,2629,0
443,29,5067,1841,2
444,29,595,550,1
445,29,3657,2298,2
446,29,4781,3142,0
447,29,1530,2874,0
448,29,258,4944,0
449,29,2600,31,2
450,29,2263,5376,2
451,29,756,1395,0
452,29,1039,281,0
453,29,1010,4295,2
454,29,2702,2406,0
455,29,45,2565,0
456,29,1505,3909,2
457,29,5536,5855,2
458,29,3057,90,0
459,29,1047,2261,0
460,29,86,3672,0
461,29,1396,2869,0
462,29,1123,3809,0
463,29,1137,3186,2
464,29,5879,5491,2
465,29,3837,4997,2
466,29,3546,2819,0
467,29,5557,5067,0
468,29,2629,2764,1
469,29,1841,2298,0
470,29,2874,3142,2
471,29,4781,1429,2
472,29,817,258,1
473,29,566,2263,2
474,29,2490,4944,0
475,29,291,4101,0
476,29,1391,756,2
477,29,4946,2746,0
478,29,1039,1064,0
479,29,1505,4295,0
480,29,5067,2349,1
481,29,4314,2406,2
482,29,1262,2565,2
483,29,3909,4326,1
484,29,2702,5855,2
485,29,3057,90,2
486,29,5376,2869,0
487,29,2261,1123,2
488,29,3809,5536,2
489,29,3186,1877,0
490,29,2348,5879,2
491,29,376,5491,1
492,29,30,2791,2
493,29,1396,2524,0
494,29,3672,1050,2
495,29,86,4739,0
496,29,2629,2671,2
497,29,1841,2298,0
498,29,3004,5421,2
499,29,4781,3142,0
500,29,566,2874,0
501,29,1429,2263,2
502,29,2629,3221,1
503,29,5557,5616,1
504,29,3494,5597,0
505,29,1505,2914,1
506,29,5826,2665,1
507,29,1064,2490,2
508,29,3142,243,1
509,29,1082,1847,1
510,29,1900,2406,2
511,29,288,2565,0
512,29,4946,1116,0
513,29,2702,5855,2
514,29,4727,3057,0
515,29,1467,2869,0
516,29,376,1877,1
517,29,4082,5879,0
518,29,2791,1164,0
519,29,5491,5776,2
520,29,2834,1396,2
521,29,3632,1050,2
522,29,5536,3809,0
523,29,1203,5557,2
524,29,1292,3186,2
525,29,3004,2131,0
526,29,4781,1841,1
527,29,2298,566,2
528,29,2874,2263,2
529,29,1429,2629,0
530,29,254,1393,0
531,29,5826,2665,2
532,29,1064,1505,2
533,29,3186,1841,0
534,29,2024,1082,2
535,29,2914,1900,0
536,29,2406,2565,0
537,29,5775,1847,1
538,29,3611,4021,1
539,29,2869,1467,2
540,29,2791,63,2
541,29,3057,376,0
542,29,4946,5879,0
543,29,2834,1877,2
544,29,3632,5491,0
545,29,4082,5776,2
546,29,3186,1841,0
547,29,2337,4649,1
548,29,4781,5557,2
549,29,3004,1039,1
550,29,2298,566,2
551,29,5895,598,1
552,29,4238,2629,2
553,29,5715,1393,0
554,29,1050,5708,2
555,29,2665,5826,0
556,29,2270,291,2
557,29,5370,3809,0
558,29,2337,578,1
559,29,1900,1082,0
560,29,3798,1505,2
561,29,2565,2406,0
562,29,5775,1847,0
563,29,1751,802,1
564,29,5879,3057,2
565,29,4255,63,2
566,29,2869,1429,2
567,29,376,1467,2
568,29,4956,1876,2
569,29,4297,1877,2
570,29,2348,505,2
571,29,2727,4222,2
572,29,5376,1841,2
573,29,2388,5491,2
574,29,2819,5776,2
575,29,1995,4946,2
576,29,4781,3186,2
577,29,2142,4349,1
578,29,3445,1824,2
579,29,4315,598,2
580,29,1039,566,0
581,29,1223,2629,1
582,29,2298,3004,2
583,29,1050,2349,0
584,29,5776,2819,0
585,29,5826,2791,0
586,29,3809,1393,0
587,29,2665,2406,0
588,29,1505,578,0
589,29,5775,1082,1
590,29,1467,3057,0
591,29,5007,190,1
592,29,31,5879,1
593,29,3766,1847,2
594,29,2565,2869,0
595,29,578,190,1
596,29,1429,4727,2
597,29,4222,2914,2
598,29,179,5491,0
599,29,2348,505,2
600,29,1841,63,2
601,29,243,2081,2
602,29,3632,1429,1
603,29,3057,5775,2
604,29,3186,2142,2
605,29,5822,1824,0
606,29,2124,598,2
607,29,4946,4781,2
608,29,148,2864,2
609,29,2629,4315,0
610,29,3004,2298,0
611,29,2791,5776,2
612,29,1082,4995,2
613,29,2270,1505,2
614,29,2349,1393,0
615,29,2665,5557,0
616,29,2406,5826,0
617,29,31,1900,0
618,29,1203,1082,1
619,29,5879,3740,0
620,29,3175,63,1
621,29,1467,3798,0
622,29,1847,190,0
623,29,2295,3766,1
624,29,2869,578,2
625,29,291,2565,0
626,29,4222,2914,2
627,29,311,505,2
628,29,2350,1988,2
629,29,856,2727,0
630,29,1429,3632,2
631,29,2142,1391,0
632,29,1824,5775,2
633,29,1949,3186,2
634,29,4781,4945,0
635,29,2665,5557,0
636,29,2347,2024,1
637,29,2864,5822,0
638,29,2298,326,2
639,29,2664,2490,0
640,29,2270,423,2
641,29,2406,1393,0
642,29,1995,5776,2
643,29,4995,966,0
644,29,1262,5993,1
645,29,4283,1429,1
646,29,5826,4159,0
647,29,1491,2546,0
648,29,2490,5826,1
649,29,5879,148,0
650,29,2565,4946,2
651,29,2129,2349,0
652,29,1467,63,2
653,29,3760,3175,2
654,29,1847,2524,2
655,29,2490,2565,1
656,29,578,1390,0
657,29,4222,3221,2
658,29,2490,2524,1
659,29,3563,975,1
660,29,311,505,1
661,29,5325,2914,1
662,29,5597,2142,2
663,29,2746,1824,0
664,29,243,5034,1
665,29,2524,3142,1
666,29,3632,4781,0
667,29,5226,179,1
668,29,2298,2674,1
669,29,1524,2864,0
670,29,2270,326,2
671,29,2347,2406,2
672,29,1995,5776,2
673,29,1262,4349,0
674,29,4238,5376,0
675,29,1429,2348,0
676,29,1050,843,0
677,29,5879,5826,0
678,29,63,1467,2
679,29,2874,148,1
680,29,4283,335,2
681,29,2349,3175,2
682,29,2664,2565,0
683,29,1847,1667,0
684,29,2820,2546,2
685,29,4091,1390,1
686,29,3221,4222,2
687,29,4692,5744,2
688,29,3004,1415,0
689,29,1223,311,0
690,29,2297,975,2
691,29,3632,1337,0
692,29,5597,5325,0
693,29,1824,3760,2
694,29,5477,2142,2
695,29,5557,5034,1
696,29,243,5484,2
697,29,2746,4674,0
698,29,4781,5226,0
699,29,3796,1203,2
700,29,2524,2298,0
701,29,5776,2347,0
702,29,2263,2270,0
703,29,1497,2351,2
704,29,2074,2869,1
705,29,505,2406,2
706,29,5376,4238,0
707,29,5295,5885,0
708,29,291,1429,2
709,29,1530,4657,2
710,29,2090,4815,0
711,29,2842,5390,2
712,29,335,802,2
713,29,5826,148,0
714,29,63,2345,0
715,29,843,3798,2
716,29,1467,3175,2
717,29,1847,2565,0
718,29,2546,2864,1
719,29,4692,5444,2
720,29,3004,4091,2
721,29,4222,1390,2
722,29,2366,3632,0
723,29,5226,4727,0
724,29,5597,5477,2
725,29,5557,2142,0
726,29,4674,5612,1
727,29,1393,2297,2
728,29,5379,2524,0
729,29,775,5034,2
730,29,3485,3088,0
731,29,4108,243,1
732,29,3175,63,0
733,29,2347,2298,1
734,29,2406,5776,0
735,29,4815,802,2
736,29,2869,2263,0
737,29,5295,505,0
738,29,2842,5775,2
739,29,1429,4781,2
740,29,802,4815,1
741,29,148,5826,2
742,29,843,3798,1
743,29,1429,4781,1
744,29,2350,1467,2
745,29,2864,4576,2
746,29,5826,1429,1
747,29,4692,5444,0
748,29,3004,4222,0
749,29,5226,3632,2
750,29,3939,4727,2
751,29,5557,5597,0
752,29,4674,1393,0
753,29,3221,5612,2
754,29,2348,2874,2
755,29,1216,63,2
756,29,1753,3175,2
757,29,4108,775,1
758,29,5776,2103,0
759,29,5034,2406,2
760,29,505,3207,2
761,29,2263,2869,1
762,29,802,5295,0
763,29,3175,5730,1
764,29,2347,1935,0
765,29,3088,4704,2
766,29,5952,148,0
767,29,4781,3208,1
768,29,2406,802,0
769,29,1745,3560,2
770,29,4576,2350,1
771,29,1467,5136,0
772,29,5826,1429,2
773,29,4222,3004,1
774,29,5444,4692,1
775,29,1130,2864,0
776,29,3632,5557,1
777,29,5597,1393,0
778,29,3939,5612,2
779,29,2349,1219,0
780,29,1753,2874,1
781,29,63,4595,2
782,29,4208,5776,2
783,29,5034,505,0
784,29,5295,291,2
785,29,2869,3175,2
786,29,2263,775,0
787,29,148,4781,2
788,29,2406,4771,0
789,29,3208,3479,0
790,29,513,2864,1
791,29,802,243,2
792,29,1010,3560,2
793,29,4576,1745,0
794,29,3632,5136,2
795,29,1467,2350,0
796,29,1429,5826,0
797,29,3142,5776,2
798,29,4222,799,0
799,29,3004,5730,0
800,29,5597,2352,0
801,29,1745,3142,1
802,29,569,5808,1
803,29,5557,5612,0
804,29,423,5444,2
805,29,3570,4187,0
806,29,63,4595,0
807,29,1753,4777,2
808,29,5775,505,0
809,29,4739,5295,0
810,29,3175,1491,0
811,29,4994,3717,1
812,29,1116,2869,2
813,29,5034,3546,2
814,29,2263,3698,0
815,29,843,5969,2
816,29,4945,4222,2
817,29,2406,4781,0
818,29,4803,243,1
819,29,148,1043,2
820,29,4995,3560,0
821,29,2864,4946,2
822,29,5136,1467,2
823,29,3142,3530,0
824,29,3004,5826,0
825,29,1216,1953,0
826,29,1745,5597,1
827,29,2796,3939,2
828,29,1429,4595,0
829,29,5775,63,0
830,29,505,5295,1
831,29,2252,3175,2
832,29,4208,3740,2
833,29,2869,1491,0
834,29,2263,4781,1
835,29,3221,4222,1
836,29,5034,2406,0
837,29,3560,4995,2
838,29,1467,5136,0
839,29,4803,1043,2
840,29,148,4946,2
841,29,2524,755,2
842,29,1953,5826,2
843,29,1216,3004,2
844,29,3717,5597,0
845,29,2351,3142,0
846,29,4692,4168,2
847,29,3798,44,1
848,29,1116,2103,2
849,29,2796,2349,0
850,29,2124,3957,2
851,29,63,2474,2
852,29,513,3175,2
853,29,3939,1277,2
854,29,5295,5776,2
855,29,4975,3929,0
856,29,5775,5444,0
857,29,4208,2874,1
858,29,1497,4781,1
859,29,2869,5885,0
860,29,2263,2406,2
861,29,4995,5034,0
862,29,5597,1039,2
863,29,3560,4222,0
864,29,775,1491,1
865,29,5357,1467,0
866,29,5136,148,2
867,29,4946,1734,0
868,29,4803,755,1
869,29,1524,513,2
870,29,1216,1043,2
871,29,4178,5826,2
872,29,4595,3142,1
873,29,44,1116,0
874,29,2842,4168,2
875,29,5242,2474,1
876,29,1326,4674,1
877,29,4602,3175,2
878,29,5776,2353,0
879,29,2349,3957,2
880,29,1010,3939,0
881,29,2874,2184,2
882,29,4781,2348,0
883,29,2263,4995,2
884,29,5295,2406,2
885,29,3560,5775,2
886,29,5034,139,0
887,29,1467,775,0
888,29,1039,4222,0
889,29,2764,5357,2
890,29,5136,4946,0
891,29,5211,1060,0
892,29,755,2350,2
893,29,2343,1491,2
894,29,568,4803,1
895,29,1043,291,0
896,29,513,200,2
897,29,4595,2239,2
898,29,1116,148,1
899,29,5826,4576,1
900,29,4168,2842,0
901,29,44,5444,0
902,29,1229,2081,1
903,29,2474,4602,0
904,29,3740,982,0
905,29,4975,1538,1
906,29,3175,5242,0
907,29,5776,4638,0
908,29,4084,4674,2
909,29,1745,4704,0
910,29,2349,127,2
911,29,2354,3698,1
912,29,3957,1922,0
913,29,4840,1734,2
914,29,1010,4781,2
915,29,4995,4187,0
916,29,2869,4326,1
917,29,1467,90,0
918,29,2263,2406,2
919,29,3095,5295,2
920,29,3560,5034,2
921,29,5835,4222,0
922,29,1039,4946,1
923,29,2348,3240,2
924,29,5775,5357,0
925,29,2644,5136,0
926,29,2350,755,1
927,29,2743,3677,2
928,29,1043,291,1
929,29,2353,513,2
930,29,4657,200,2
931,29,3798,4803,2
932,29,5658,2375,0
933,29,4576,5826,2
934,29,2864,148,1
935,29,1362,1491,2
936,29,2081,4091,2
937,29,4168,812,0
938,29,3499,44,0
939,29,2842,1538,2
940,29,3175,3740,0
941,29,4975,2331,0
942,29,3672,5776,2
943,29,4704,2820,0
944,29,3205,3717,2
945,29,3957,4781,1
946,29,1798,4995,2
947,29,5295,2406,2
948,29,1467,3698,0
949,29,4657,513,1
950,29,5835,2989,0
951,29,1039,5034,0
952,29,2869,4222,1
953,29,5775,4946,0
954,29,799,5136,1
955,29,2350,1892,0
956,29,755,1359,2
957,29,1869,148,0
958,29,291,1877,0
959,29,3637,3677,2
960,29,4168,5708,2
961,29,4975,2331,0
962,29,3798,4091,1
963,29,1896,5498,2
964,29,1362,1491,0
965,29,2314,44,2
966,29,1277,581,1
967,29,3175,3499,2
968,29,3132,1256,2
969,29,2842,2820,2
970,29,326,3672,2
971,29,4781,2184,0
972,29,2351,4995,2
973,29,2406,4727,0
974,29,200,3698,0
975,29,575,4657,2
976,29,5034,1039,1
977,29,90,1467,2
978,29,2869,2989,0
979,29,4222,3957,2
980,29,4946,513,2
981,29,5775,5226,2
982,29,1524,5136,2
983,29,2351,4995,2
984,29,4602,1187,2
985,29,755,1877,2
986,29,4576,790,1
987,29,2353,2350,2
988,29,3115,1937,0
989,29,148,1916,2
990,29,4168,5708,2
991,29,4084,1798,1
992,29,1359,1010,0
993,29,1442,4610,0
994,29,4948,3205,0
995,29,2627,5451,0
996,29,1277,44,1
997,29,2314,4975,2
998,29,3798,122,2
999,29,4091,3560,0
1000,29,5730,1256,0
1001,29,4781,1491,2
1002,29,5444,4727,2
1003,29,2406,3698,0
1004,29,4657,4844,0
1005,29,200,1467,1
1006,29,1039,2665,2
1007,29,5034,2358,2
1008,29,5969,2124,2
1009,29,3957,4222,0
1010,29,513,2359,0
1011,29,5737,2869,1
1012,29,1187,755,2
1013,29,5136,1877,2
1014,29,2357,2353,0
1015,29,1916,2684,0
1016,29,1798,947,0
1017,29,5557,4168,0
1018,29,4602,4995,2
1019,29,1442,2627,0
1020,29,1362,1359,1
1021,29,2353,2684,1
1022,29,2314,1507,2
1023,29,4995,4610,1
1024,29,2361,44,0
1025,29,4975,251,0
1026,29,1039,2665,2
1027,29,4727,2142,1
1028,29,4781,1256,0
1029,29,2406,1847,1
1030,29,5060,254,0
1031,29,3458,4628,1
1032,29,1467,200,2
1033,29,2226,3005,1
1034,29,90,3698,1
1035,29,5034,2358,0
1036,29,513,4591,2
1037,29,4222,2869,0
1038,29,4368,3053,2
1039,29,1187,2357,0
1040,29,2474,3159,1
1041,29,3499,632,0
1042,29,1745,5325,0
1043,29,2867,5136,1
1044,29,4167,4149,1
1045,29,5775,3987,0
1046,29,1916,1877,2
1047,29,755,4572,0
1048,29,4168,1798,0
1049,29,5724,2989,0
1050,29,982,2024,2
1051,29,3115,2359,0
1052,29,5392,4844,2
1053,29,1010,1362,1
1054,29,2627,5451,0
1055,29,4788,291,2
1056,29,3620,200,2
1057,29,2665,4781,0
1058,29,1039,4995,0
1059,29,44,4610,2
1060,29,2314,1507,2
1061,29,2142,1390,0
1062,29,2674,3798,2
1063,29,2118,3735,2
1064,29,1467,5034,0
1065,29,1847,5211,2
1066,29,2658,5060,2
1067,29,4628,1801,1
1068,29,1229,2226,2
1069,29,5708,3698,0
1070,29,2350,2684,0
1071,29,486,4591,0
1072,29,4387,2355,0
1073,29,2356,790,2
1074,29,1937,86,2
1075,29,1187,4576,2
1076,29,5136,3053,2
1077,29,2474,2869,0
1078,29,2867,3159,2
1079,29,4222,4368,0
1080,29,632,5325,2
1081,29,4149,5775,2
1082,29,1916,1877,0
1083,29,1098,5724,2
1084,29,5883,1428,1
1085,29,3115,5392,0
1086,29,4168,4844,0
1087,29,632,4368,1
1088,29,2842,2024,2
1089,29,1362,1010,1
1090,29,2627,3031,2
1091,29,291,2665,2
1092,29,4995,1039,0
1093,29,1442,2361,2
1094,29,1192,1745,2
1095,29,849,44,2
1096,29,5299,1692,2
1097,29,1507,2989,0
1098,29,2142,1390,1
1099,29,1082,5437,1
1100,29,5211,1467,0
1101,29,5060,2314,2
1102,29,4187,1129,1
1103,29,4591,2684,2
1104,29,558,2226,1
1105,29,2252,1801,0
1106,29,3798,5477,1
1107,29,2734,1187,1
1108,29,3923,1429,2
1109,29,5136,2474,0
1110,29,5242,5325,0
1111,29,5060,5437,1
1112,29,2353,5724,0
1113,29,4781,2349,0
1114,29,4107,3159,1
1115,29,2142,2989,1
1116,29,1847,1428,2
1117,29,2869,1877,2
1118,29,4576,1916,2
1119,29,291,2665,2
1120,29,2024,5883,2
1121,29,1362,3115,1
1122,29,1229,2169,1
1123,29,5392,2627,2
1124,29,1528,4995,2
1125,29,3031,4368,0
1126,29,1751,4671,1
1127,29,2684,5973,2
1128,29,3731,44,0
1129,29,1507,3647,0
1130,29,1467,5211,0
1131,29,2359,2684,0
1132,29,3053,4187,0
1133,29,1692,1801,1
1134,29,5477,2734,1
1135,29,5806,1187,2
1136,29,2474,2349,0
1137,29,5060,5136,0
1138,29,5437,5724,0
1139,29,1847,4781,0
1140,29,1877,2989,0
1141,29,3159,2869,0
1142,29,1916,1429,0
1143,29,2142,2152,2
1144,29,1621,3240,0
1145,29,4995,2665,2
1146,29,45,2353,0
1147,29,1428,2024,0
1148,29,3864,4121,0
1149,29,3115,3798,0
1150,29,3957,3031,0
1151,29,5392,1079,2
1152,29,5973,3668,1
1153,29,2357,5325,0
1154,29,5473,1428,1
1155,29,2358,1528,0
1156,29,1877,5724,1
1157,29,44,1362,1
1158,29,2356,3879,0
1159,29,3686,4208,0
1160,29,849,2359,1
1161,29,5392,304,1
1162,29,1801,2169,1
1163,29,2684,1507,2
1164,29,4671,2828,2
1165,29,2734,1187,2
1166,29,2474,2360,0
1167,29,3933,1229,1
1168,29,5060,4781,1
1169,29,3053,1847,0
1170,29,2869,4576,2
1171,29,3159,5437,0
1172,29,4997,5857,2
1173,29,542,1937,1
1174,29,2989,1916,2
1175,29,4646,1692,2
