game,date,player 0,score 0,player 1,score 1,player 2,score 2,player 3,score 3,player 4,score 4,player 5,score 5,player 6,score 6,player 7,score 7
32,5,3541,8,531,5,4577,9,3973,1,4769,2,3670,5,4039,1,,
33,5,1480,5,5319,4,2999,2,3004,6,5667,2,5716,5,1460,7,,
34,5,4039,3,2744,3,2667,5,4945,7,531,5,4577,5,3541,8,,
35,5,75,8,1438,8,3729,5,4659,3,3563,5,,,,,,
36,5,5716,8,3973,5,497,2,2999,3,5667,5,4769,7,5264,7,,
37,5,2035,6,3000,3,3003,4,3583,9,4639,5,,,,,,
38,5,531,3,4789,2,5718,6,3651,4,2994,3,4039,3,,,,
39,5,4196,7,492,7,4945,4,1091,3,5704,3,4652,6,,,,
40,5,5312,3,1438,9,129,6,4058,1,4659,7,3563,3,,,,
41,5,497,0,2999,2,5667,2,5264,4,,,,,,,,
42,5,3526,2,2737,5,5320,1,5716,1,4577,0,1511,5,1513,5,,
43,5,3000,0,3444,0,4639,1,2035,1,1773,2,,,,,,
44,5,3002,2,464,1,5319,1,2995,2,3004,7,1460,8,,,,
45,5,3645,6,1796,4,75,4,5414,6,,,,,,,,
46,5,3006,2,78,4,5697,5,,,,,,,,,,
47,5,3651,6,5718,5,531,3,1051,8,4039,3,2667,9,,,,
48,5,3563,5,3526,0,3912,4,129,8,1438,7,160,2,4659,5,,
49,5,492,3,1091,5,4577,1,2737,5,4652,2,,,,,,
50,5,5319,2,2995,4,2999,2,,,,,,,,,,
51,5,2994,4,3526,0,3670,0,1796,4,1773,2,5716,1,2035,1,,
52,5,4045,7,75,9,3540,9,5414,3,53,8,3645,9,3526,7,,
53,5,53,0,4058,0,116,0,4659,0,4045,0,2652,0,,,,
54,5,531,1,3583,0,3651,8,3002,1,4039,4,,,,,,
55,5,5718,9,1051,5,5246,5,4196,6,5657,5,3670,1,1089,8,,
56,5,5319,2,536,1,4652,2,1091,4,2737,6,5704,5,,,,
57,5,143,0,4659,0,129,0,4058,0,4705,3,3912,1,1061,4,,
58,5,5716,2,5697,8,1460,0,1000,8,2995,6,3583,8,2999,1,,
59,5,160,2,2994,0,1796,5,3526,4,143,5,,,,,,
60,5,3002,2,2719,8,3651,9,5717,8,410,8,5657,9,2998,5,,
61,5,129,9,3457,5,1061,8,3912,0,4652,0,2737,6,1091,1,,
62,5,3007,1,5319,2,5716,3,2995,5,536,1,5704,2,4803,5,,
63,5,531,3,4577,1,2620,9,2628,3,5246,1,5381,1,1460,1,,
64,5,5377,0,3583,4,2999,1,5697,9,,,,,,,,
65,5,2131,3,116,8,4045,4,3485,1,143,7,,,,,,
66,5,40,6,2998,5,5657,2,410,7,5717,8,3002,1,2719,9,,
67,5,1511,5,1775,5,3457,5,2995,5,5716,5,536,1,5309,5,,
68,5,1438,8,5414,1,75,6,1061,3,4659,3,4671,2,,,,
69,5,3490,7,5319,5,5704,4,3583,7,,,,,,,,
70,5,54,0,129,9,2737,3,,,,,,,,,,
71,5,53,8,2131,2,2620,8,5246,2,4196,4,4045,7,,,,
72,5,2999,2,3008,2,5377,0,4803,2,5697,5,,,,,,
73,5,2998,8,5657,8,5525,8,144,7,3002,2,531,3,5381,3,,
74,5,3670,5,2994,1,143,2,1779,5,5642,7,5407,2,,,,
75,5,1511,0,1460,1,40,5,4803,5,,,,,,,,
76,5,143,3,4671,1,5414,0,1061,7,3490,3,2737,5,3583,2,,
77,5,4196,7,2131,6,5414,7,33,2,54,9,5246,6,4045,8,,
78,5,5716,0,5381,0,2736,1,3670,0,,,,,,,,
79,5,5319,7,410,7,2999,2,4065,1,5697,9,5694,2,,,,
80,5,1460,0,5678,0,2620,2,,,,,,,,,,
81,5,3010,3,3591,4,3002,3,,,,,,,,,,
82,5,4803,9,40,4,991,2,531,0,5407,3,554,8,,,,
83,5,1061,8,3912,4,75,9,3724,5,4671,4,4032,4,1181,6,,
84,5,2737,8,5246,4,5414,9,33,2,3524,7,4196,5,1460,7,,
85,5,5642,5,5711,2,2719,2,3457,2,3451,0,3520,1,3490,3,,
86,5,2736,8,3600,1,1054,5,54,2,,,,,,,,
87,5,5697,9,5694,2,4065,1,3719,2,,,,,,,,
88,5,5678,4,53,4,3563,1,,,,,,,,,,
89,5,554,2,2135,1,536,0,2620,3,,,,,,,,
90,5,991,5,5716,1,2996,1,2821,4,3591,1,4803,6,4071,4,,
91,5,4032,4,40,5,3542,8,3912,1,3724,8,3612,4,4671,5,,
92,5,462,7,4026,7,33,5,5414,5,5246,2,2737,5,2667,6,,
93,5,5711,1,3520,2,5320,2,3490,3,3500,2,,,,,,
94,5,1181,1,4196,1,75,0,1061,3,,,,,,,,
95,5,574,1,616,4,3719,2,5642,0,3002,0,,,,,,
96,5,3562,0,3913,3,2736,5,3600,0,3909,6,,,,,,
97,5,5716,5,2821,7,2135,5,3583,5,5339,3,2998,7,5694,4,,
98,5,3670,9,2620,7,33,5,4026,5,3520,5,3490,2,4045,5,,
99,5,5678,5,462,4,2737,3,991,5,3612,2,2667,2,,,,
100,5,3562,0,40,1,41,7,5414,2,3542,3,3724,1,4671,1,,
101,5,1460,5,3562,0,3485,1,3719,0,616,3,574,3,,,,
102,5,3600,2,427,8,1061,9,2688,2,2994,1,3732,3,,,,
103,5,2736,9,2821,7,5716,1,2135,7,3583,5,3562,7,,,,
104,5,3562,0,4196,1,1061,0,5320,1,5711,2,,,,,,
105,5,3002,1,4639,4,5384,4,5339,0,,,,,,,,
106,5,2667,8,991,5,4094,2,3591,6,4026,6,1825,0,,,,
107,5,4093,0,3612,5,2721,7,,,,,,,,,,
108,5,33,1,3909,2,3719,1,462,7,4045,2,3500,6,,,,
109,5,5678,5,3724,5,4671,2,,,,,,,,,,
110,5,41,4,4803,2,3670,0,5422,5,427,3,3600,1,3485,5,,
111,5,633,7,3732,1,2688,2,430,0,2674,0,3006,2,574,8,,
112,5,4065,1,3011,4,3503,6,5538,7,2674,1,3012,1,,,,
113,5,4196,2,3977,3,1061,8,2135,6,3583,3,3562,0,1050,3,,
114,5,1869,8,1825,8,3002,4,5716,5,2038,2,5339,2,3643,1,,
115,5,3591,2,437,1,430,1,,,,,,,,,,
116,5,4026,1,2620,7,2737,0,1781,3,4094,0,4032,1,,,,
117,5,436,3,628,2,5668,9,4093,1,2996,6,566,4,3012,8,,
118,5,33,8,4671,4,2721,4,2667,7,420,8,1041,2,,,,
119,5,3600,8,3485,3,462,8,137,5,2685,5,991,2,,,,
120,5,3002,1,2674,1,3013,5,3014,6,47,7,3011,8,3643,4,,
121,5,3909,4,1061,0,3724,2,3977,1,41,2,1050,1,,,,
122,5,574,2,2688,0,3719,2,,,,,,,,,,
123,5,5716,4,633,9,5339,1,3732,5,1825,9,3015,1,,,,
124,5,4196,1,2135,0,1869,0,5678,0,3670,5,,,,,,
125,5,4028,8,437,5,2737,6,1781,4,4094,2,2688,5,,,,
126,5,566,2,5668,3,475,3,2998,4,5705,9,436,1,,,,
127,5,420,6,152,7,2667,3,33,1,5678,2,1869,0,3612,2,,
128,5,1041,4,5356,8,4671,7,1828,7,3600,7,1061,7,1869,5,,
129,5,2996,8,2734,2,4060,1,991,3,,,,,,,,
130,5,2674,1,462,8,3485,4,3002,3,3643,2,,,,,,
131,5,3014,9,3013,7,426,0,574,7,551,0,3011,5,4093,0,,
132,5,3909,9,1066,1,2685,8,3977,0,3724,7,1050,2,,,,
133,5,4196,6,4045,6,3609,6,2652,7,2620,7,5716,2,1825,3,,
134,5,1828,0,2725,0,1869,0,4767,0,2688,0,152,0,,,,
135,5,4094,1,1082,1,2737,1,41,7,3670,0,3732,1,633,0,,
136,5,3534,7,4028,5,3457,2,1781,1,3500,5,,,,,,
137,5,1008,4,155,1,3015,1,437,5,5668,7,2998,5,,,,
138,5,412,0,2674,0,4615,1,3719,1,3670,2,5705,8,,,,
139,5,3002,1,2996,3,2734,5,3011,6,3643,2,,,,,,
140,5,991,0,129,1,1828,4,4028,1,1087,1,,,,,,
141,5,1050,6,991,0,462,7,1066,3,2685,2,3909,5,3977,5,,
142,5,475,0,2998,0,436,0,3014,2,437,1,,,,,,
143,5,124,2,4060,2,3503,8,1053,4,3016,5,1008,4,,,,
144,5,2656,5,1082,2,3724,7,2639,4,1993,1,2690,0,,,,
145,5,3643,1,3015,1,446,2,2996,2,4119,8,3013,1,3011,7,,
146,5,2688,2,1869,5,2725,7,4767,8,5088,5,3670,7,152,7,,
147,5,3719,0,5414,2,3600,5,2690,2,1041,0,,,,,,
148,5,3017,0,5410,0,3018,1,3002,1,,,,,,,,
149,5,1050,3,1993,3,1066,2,3719,2,2685,1,3977,2,,,,
150,5,1015,7,2734,2,5410,9,2674,2,542,2,4094,4,155,2,,
151,5,1505,5,1828,3,5378,0,3534,2,129,1,4045,1,41,2,,
152,5,5728,5,437,7,1775,4,3013,2,616,8,4093,1,475,5,,
153,5,3017,0,124,3,1053,5,3503,5,574,8,3016,7,499,7,,
154,5,3492,0,5717,3,1009,2,2690,2,,,,,,,,
155,5,1854,4,2677,3,5378,5,1082,4,,,,,,,,
156,5,104,2,2656,1,2998,2,4652,3,2639,4,2153,8,,,,
157,5,4010,2,585,2,4766,2,3014,6,,,,,,,,
158,5,4767,8,5414,9,1869,6,108,8,3600,5,5088,5,152,5,,
159,5,3011,2,4770,2,2996,1,551,2,1041,0,420,0,3643,2,,
160,5,106,6,3670,8,3909,8,2725,3,137,4,462,9,,,,
161,5,4659,7,5262,9,3609,6,4080,2,3645,8,4743,2,,,,
162,5,3002,7,155,3,2674,4,3015,1,2734,3,2821,8,,,,
163,5,420,3,90,1,3977,2,1066,7,2685,3,3719,0,,,,
164,5,1048,5,1050,5,1993,6,2688,2,4092,2,1026,2,,,,
165,5,542,1,4094,1,47,5,2671,5,570,0,5410,1,,,,
166,5,1050,0,1066,0,5678,0,4092,0,3522,0,3977,0,,,,
167,5,2693,9,446,3,616,1,4028,4,437,2,4040,5,16,2,,
168,5,124,6,3017,0,3493,6,3503,7,5410,7,4060,1,3016,6,,
169,5,2996,7,551,8,3011,8,4093,0,5728,5,3643,4,436,7,,
170,5,5088,5,2690,5,462,9,3600,0,4767,2,108,6,1869,7,,
171,5,4770,6,2821,9,3002,6,2674,1,4091,1,3670,7,1041,2,,
172,5,1075,2,155,0,3024,5,3021,1,,,,,,,,
173,5,2656,3,2677,1,5378,1,4952,7,129,6,2658,2,2639,3,,
174,5,137,0,2725,1,5414,4,4652,1,,,,,,,,
175,5,2725,0,5414,0,129,0,5378,0,2639,0,1041,0,,,,
176,5,3645,8,106,4,1993,2,4045,2,5262,9,3909,7,,,,
177,5,1854,7,2685,2,4671,1,,,,,,,,,,
178,5,4094,2,2671,9,4615,6,3412,4,420,8,1048,8,,,,
179,5,3015,4,3023,1,6,1,1842,9,3014,5,47,9,512,1,,
180,5,2688,4,4040,5,137,8,446,7,4028,8,92,2,16,2,,
181,5,2693,3,3435,4,3609,1,5678,2,3534,5,,,,,,
182,5,470,3,3011,7,1009,1,5328,4,,,,,,,,
183,5,100,5,3440,9,5088,2,2690,2,462,9,1869,2,3539,7,,
184,5,1841,5,2656,1,4952,9,2620,8,1864,5,4632,3,4767,6,,
185,5,4696,3,4770,2,499,0,155,2,2674,1,21,1,3017,0,,
186,5,3025,1,422,3,1075,0,4190,3,5707,6,436,1,,,,
187,5,106,2,5378,2,2658,4,3909,9,4659,0,1993,3,4045,7,,
188,5,1858,4,5525,3,1050,1,4652,5,,,,,,,,
189,5,4671,7,4683,8,5262,9,4092,5,3522,5,4080,7,4739,5,,
190,5,3027,0,1075,5,4091,4,3018,6,3016,3,3002,1,,,,
191,5,6,2,1842,2,47,8,4094,1,,,,,,,,
192,5,4659,9,2685,7,4028,5,3731,5,1048,4,420,6,3636,8,,
193,5,3412,5,16,1,3557,4,92,4,5390,2,2688,1,137,4,,
194,5,542,5,3024,2,3015,1,,,,,,,,,,
195,5,446,7,3019,8,4096,5,512,1,5712,3,437,5,3643,1,,
196,5,100,5,5088,5,4688,9,1892,2,3534,6,462,9,3435,8,,
197,5,1009,2,473,4,517,9,3011,6,3014,8,3559,9,,,,
198,5,2674,1,4770,1,470,3,1864,2,3017,0,5328,1,,,,
199,5,2639,6,5414,5,129,9,2725,5,2620,7,4952,8,2690,2,,
200,5,146,0,3027,2,4696,2,490,6,21,2,4190,5,104,9,,
201,5,3440,8,1858,7,4767,2,3539,7,1867,7,146,2,412,7,,
202,5,1993,7,4671,7,5378,5,2658,8,4739,7,106,8,,,,
203,5,5525,9,124,5,532,6,570,2,422,1,3016,8,3002,2,,
204,5,1050,9,4080,5,1841,8,5262,9,1066,5,1856,8,4045,7,,
205,5,4091,6,2688,5,420,2,4028,8,92,2,4094,2,,,,
206,5,4659,9,2685,8,3557,4,1844,8,16,0,3731,5,,,,
207,5,3025,1,437,3,3003,8,4096,7,6,1,3015,1,5707,5,,
208,5,1090,1,3730,2,3546,1,412,3,3466,1,1867,2,,,,
209,5,3530,5,5088,5,3950,9,462,9,5422,9,3521,5,4652,6,,
210,5,446,4,3019,5,999,5,3028,8,3026,1,5712,2,,,,
211,5,1053,2,3011,5,517,3,585,1,5326,9,1041,1,,,,
212,5,473,4,2674,1,1009,0,1864,8,3524,5,4770,5,,,,
213,5,3670,0,3546,0,1468,5,2690,0,2693,0,88,1,3710,3,,
214,5,464,1,470,5,490,6,52,8,104,3,1858,5,,,,
215,5,4696,2,512,2,21,2,,,,,,,,,,
216,5,3636,9,3440,8,1892,2,3534,8,5378,2,1993,7,1078,9,,
217,5,532,5,124,2,5525,5,1834,8,3016,9,3002,3,,,,
218,5,4045,5,2658,6,129,8,2131,6,5262,9,4080,2,,,,
219,5,4767,3,3557,7,1856,6,1048,5,487,5,2679,5,,,,
220,5,437,4,3029,3,485,2,570,4,4094,2,4091,9,,,,
221,5,3670,3,3947,9,3950,7,3466,3,1054,8,3539,5,4739,5,,
222,5,3730,3,1090,3,1041,2,3507,1,3546,6,1867,8,,,,
223,5,6,3,4096,3,3026,1,422,5,1072,9,5712,2,3003,5,,
224,5,999,7,3011,7,446,4,462,9,3530,1,5088,8,,,,
225,5,5326,9,2674,0,4770,2,1869,8,4593,2,1864,6,,,,
226,5,464,4,490,8,473,0,470,7,146,7,5707,7,1858,9,,
227,5,88,7,52,1,2674,1,4652,7,3676,2,33,1,2167,4,,
228,5,3521,5,3534,2,3540,6,4952,5,4659,5,5356,4,,,,
229,5,16,3,3440,8,104,7,3446,3,5378,5,1892,5,1993,9,,
230,5,3016,3,3028,8,1823,3,512,0,5525,7,,,,,,
231,5,5262,8,991,0,4080,2,3489,1,,,,,,,,
232,5,3002,3,3992,1,532,8,124,7,,,,,,,,
233,5,487,8,1048,2,4767,7,2131,9,1856,5,3557,5,2155,9,,
234,5,2620,7,437,2,3466,8,4094,3,4045,9,,,,,,
235,5,2685,2,4028,6,3645,9,1841,3,3731,5,3519,7,5323,5,,
236,5,4091,6,2141,7,3029,5,5712,4,485,1,570,5,,,,
237,5,5426,2,1072,8,3011,1,462,7,5088,6,4671,2,3530,4,,
238,5,3730,2,3950,4,3711,5,3507,0,4739,1,3546,2,5422,2,,
239,5,4593,5,3522,8,464,2,490,3,5642,4,470,5,5326,5,,
240,5,3440,8,1993,5,4952,7,3540,9,5378,5,5414,7,3521,5,,
241,5,3003,4,6,2,2674,4,459,6,3031,3,3508,4,,,,
242,5,33,1,1054,6,3534,9,1844,5,5356,7,4659,0,88,2,,
243,5,1965,2,1892,1,2658,6,427,2,5238,1,,,,,,
244,5,3446,3,5262,9,3557,4,2715,2,4080,1,1048,1,1927,1,,
245,5,446,1,4096,2,999,6,4770,5,422,2,3026,0,,,,
246,5,427,0,4952,0,1965,0,1993,0,1844,0,1927,0,,,,
247,5,5707,2,3016,5,1068,2,512,0,3013,0,1823,0,,,,
248,5,437,5,5538,3,4094,4,3002,5,532,5,487,9,4054,3,,
249,5,2679,4,5323,5,4671,5,4672,0,4028,3,2620,7,5426,3,,
250,5,5723,8,3466,7,5088,7,4045,8,2155,6,4659,7,3530,2,,
251,5,3017,3,124,4,80,6,4091,5,5712,6,485,3,3011,5,,
252,5,1927,0,3446,2,5254,0,3557,1,2658,2,1892,0,5262,7,,
253,5,3922,2,1072,8,3029,7,3012,5,2141,4,4778,1,146,5,,
254,5,3676,3,2167,2,1864,7,52,4,595,4,104,5,2679,0,,
255,5,3002,0,3016,0,5333,0,3559,0,485,0,5426,0,,,,
256,5,490,1,464,0,3684,1,4672,4,4651,0,4707,1,3711,5,,
257,5,4615,2,3522,8,4593,4,3542,4,3546,2,2135,7,3730,3,,
258,5,5557,1,1993,0,3540,8,5414,6,1054,1,1869,6,3521,5,,
259,5,5422,7,4579,3,33,0,5378,4,88,4,3519,5,3950,5,,
260,5,470,5,473,1,3013,5,3508,4,3031,5,459,2,,,,
261,5,3738,2,3629,3,3003,7,5238,8,4096,5,6,2,,,,
262,5,443,7,4139,5,3739,4,464,2,1032,8,1834,7,512,0,,
263,5,1993,4,4952,8,4651,5,2715,2,5431,6,487,5,3671,5,,
264,5,532,9,3992,5,446,9,3036,5,1068,0,4094,4,999,7,,
265,5,3530,5,4671,5,5088,4,2155,2,5723,8,2620,9,437,2,,
266,5,5712,5,465,8,3027,5,3033,4,3037,5,80,8,3017,2,,
267,5,3446,5,2167,7,3012,6,3922,1,5250,9,146,0,5707,6,,
268,5,3017,0,3038,0,3036,0,479,0,4139,0,4111,0,,,,
269,5,3542,2,4593,1,3522,3,3546,1,2135,3,3711,6,106,2,,
270,5,3684,2,2707,4,1068,5,595,2,3995,2,146,2,4778,0,,
271,5,3519,9,4615,1,88,7,490,2,4652,4,4707,4,5414,4,,
272,5,1048,4,4672,6,5378,0,427,3,5422,0,1869,2,,,,
273,5,4576,7,1965,1,412,9,137,4,4743,7,4080,5,3950,9,,
274,5,1927,2,3504,3,5262,8,1892,1,3557,2,3452,2,5254,2,,
275,5,5238,5,4096,2,3003,8,4579,2,47,0,3013,3,3738,3,,
276,5,3031,3,4010,1,5642,5,5538,0,464,0,606,5,1834,7,,
277,5,81,9,5431,5,1078,8,4952,8,3534,8,2018,7,1993,5,,
278,5,437,0,443,5,4651,1,3676,5,5723,9,2155,8,4671,7,,
279,5,487,7,2679,5,4094,3,999,7,1032,4,47,3,,,,
280,5,3031,0,3017,0,4010,0,3036,0,3019,0,3922,0,,,,
281,5,80,0,465,3,485,0,3032,2,5712,2,3027,0,3020,1,,
282,5,4593,5,4648,2,2135,8,3546,7,2681,8,1927,5,106,9,,
283,5,3037,9,1068,7,485,5,4696,6,3033,2,3995,3,595,7,,
284,5,146,7,3446,1,5410,5,2993,1,3739,2,3002,4,,,,
285,5,2018,0,108,0,3932,0,52,0,3703,0,5715,0,,,,
286,5,1048,2,3519,7,1869,5,3522,8,4672,6,5414,5,88,8,,
287,5,427,9,518,4,92,1,3684,0,5538,0,3711,9,4615,2,,
288,5,4659,0,2182,6,3504,6,3542,4,4576,3,5248,1,5557,4,,
289,5,137,5,5262,9,2685,2,1965,1,4632,8,5254,4,2721,3,,
290,5,3542,0,92,0,5414,0,2660,0,518,0,427,0,,,,
291,5,4190,7,3039,1,3700,7,3013,5,3003,4,439,4,4096,6,,
292,5,4080,3,3524,5,412,9,3557,3,2746,4,,,,,,
293,5,4597,0,4615,0,1965,0,1989,0,4632,0,2746,0,,,,
294,5,1993,6,3553,3,4952,5,487,3,5431,1,,,,,,
295,5,3019,2,3036,5,80,6,479,1,4111,7,3004,0,,,,
296,5,4700,2,437,3,1032,7,4583,3,5728,1,5642,7,,,,
297,5,4651,4,2040,4,5993,5,2155,9,139,7,2681,5,1927,7,,
298,5,3995,2,3038,2,3037,2,1068,6,19,1,1834,5,460,7,,
299,5,2663,0,5312,9,3729,9,4648,2,3446,2,2018,8,2135,6,,
300,5,3534,8,4683,1,4973,9,4659,9,462,8,1048,1,,,,
301,5,595,8,146,5,3002,3,485,5,4696,1,3033,2,999,5,,
302,5,4593,1,3519,3,5270,8,2663,3,88,2,3711,4,3504,3,,
303,5,4701,2,3043,2,3020,2,5598,1,2694,1,,,,,,
304,5,4973,0,2018,0,4683,0,1993,0,5431,0,1048,0,,,,
305,5,5248,2,5557,5,1447,0,3546,0,3522,6,5422,6,4576,5,,
306,5,4190,5,3010,6,3039,0,4074,5,439,3,467,2,3013,5,,
307,5,4080,4,4045,3,5262,9,5414,8,2685,7,3557,5,2182,8,,
308,5,3636,7,4598,7,4597,1,487,8,5431,0,4671,4,1869,7,,
309,5,80,5,3036,9,3035,1,512,0,4111,7,3017,4,3042,3,,
310,5,52,4,10,4,5715,8,3703,9,108,7,4952,9,,,,
311,5,139,6,2681,7,1927,5,1892,3,5723,7,5993,5,2155,7,,
312,5,3041,4,5705,8,3995,0,3003,3,479,3,19,2,1068,2,,
313,5,3995,4,3002,1,3446,6,4648,5,5494,4,4651,7,1834,7,,
314,5,5538,1,999,7,4139,5,485,6,4696,3,475,2,,,,
315,5,5557,5,427,7,4576,3,1494,4,4767,4,3921,0,5333,5,,
316,5,1887,2,1984,5,5642,8,4627,8,5410,7,2660,2,,,,
317,5,3711,9,88,7,443,5,518,8,4593,2,3519,6,5248,4,,
318,5,4701,3,3004,5,3033,0,3039,0,603,0,5598,0,3020,7,,
319,5,5414,1,3504,3,5262,5,3557,1,45,0,4045,0,4659,6,,
320,5,3609,8,3553,2,4059,5,3932,1,1993,0,100,3,,,,
321,5,4010,2,412,7,4583,4,3963,0,506,1,437,3,4013,5,,
322,5,3519,0,4767,1,45,0,427,0,3711,0,88,0,,,,
323,5,3010,2,4778,5,3922,6,439,5,457,4,4961,7,,,,
324,5,4618,8,2685,0,3921,4,81,0,1181,5,5270,6,,,,
325,5,5538,3,1447,8,1032,5,1068,8,10,7,4597,1,5437,1,,
326,5,4598,1,2663,0,2669,0,1009,5,5405,0,487,4,,,,
327,5,479,5,4612,5,3012,7,512,1,3017,4,,,,,,
328,5,81,7,108,3,4952,8,4973,6,2176,2,,,,,,
329,5,5431,8,4648,4,4707,2,3479,6,1834,7,2663,6,1048,5,,
330,5,3479,0,5723,7,5993,5,1869,2,2155,2,5715,3,3703,1,,
331,5,5705,5,1062,2,3044,0,5494,0,19,0,3043,5,,,,
332,5,606,9,3446,2,4680,2,1892,7,3002,5,4615,9,1927,5,,
333,5,1066,0,129,0,1009,0,4686,0,487,0,2176,0,,,,
334,5,5405,3,5430,2,4040,4,2660,5,485,4,4651,2,2641,4,,
335,5,2681,2,4080,7,1494,4,4576,2,1984,5,471,8,,,,
336,5,163,9,3042,1,3995,3,443,7,4696,2,3004,8,,,,
337,5,5410,5,5414,5,5342,7,3504,7,3500,8,3530,2,5248,4,,
338,5,100,8,1887,5,3932,4,3967,7,4627,9,4968,5,,,,
339,5,4010,1,518,3,2077,1,5598,0,,,,,,,,
340,5,3609,5,4659,7,5262,9,3553,5,3452,6,4618,5,4767,5,,
341,5,430,2,5642,8,4961,7,457,3,437,2,412,9,4583,6,,
342,5,3922,7,3921,8,4632,7,1965,6,4672,7,517,8,4041,7,,
343,5,3700,5,3045,2,3037,0,620,0,3010,5,439,1,506,1,,
344,5,596,7,3041,2,603,5,3037,5,593,1,4805,7,3033,0,,
345,5,1447,0,2740,8,5258,4,1068,0,10,9,4643,2,5437,2,,
346,5,1888,3,3017,2,583,5,3012,8,3048,7,3049,6,,,,
347,5,2660,0,4116,7,471,1,4040,1,2663,0,5557,0,2681,1,,
348,5,2176,1,487,5,4686,1,1009,5,129,0,2685,1,1066,2,,
349,5,4648,3,1834,9,5711,3,5431,8,3002,1,4615,6,1048,8,,
350,5,2155,8,3703,9,81,9,108,6,5723,9,4952,9,4973,8,,
351,5,5993,4,1869,8,1068,2,2669,3,4598,8,4675,5,,,,
352,5,3046,5,4013,6,3039,1,3926,3,3035,1,3963,0,3044,1,,
353,5,5705,8,2689,2,3009,0,3043,2,4612,0,485,0,1062,0,,
354,5,5405,5,463,8,4680,2,3479,3,4651,1,5538,1,,,,
355,5,3995,7,3042,7,3009,3,4696,7,443,8,485,5,3033,5,,
356,5,5294,3,129,9,4576,5,3932,0,100,2,1887,5,4080,0,,
357,5,999,7,3553,4,5410,8,518,8,430,6,4968,6,3530,7,,
358,5,5642,5,3609,6,4618,6,3504,8,3909,8,5342,7,4767,3,,
359,5,5242,2,2182,2,412,3,1494,5,3967,2,3590,0,4040,1,,
360,5,3500,9,133,2,3921,5,1965,1,3452,8,5262,9,4659,6,,
361,5,4612,8,457,7,4139,4,512,1,440,1,4778,2,,,,
362,5,513,1,593,5,1008,2,3966,7,4805,8,460,6,4074,2,,
363,5,439,5,37,3,3047,3,3044,0,3037,7,583,4,596,6,,
364,5,4672,4,2653,9,4643,2,1927,1,5557,5,,,,,,
365,5,2663,0,471,7,5431,5,5088,6,3557,7,5371,8,2660,5,,
366,5,2176,5,4686,0,1009,3,1066,3,2685,1,4648,1,4683,2,,
367,5,108,4,4061,5,2155,6,4973,8,3703,4,3519,7,,,,
368,5,427,6,420,0,4686,5,4675,3,4598,4,2667,4,1874,0,,
369,5,2689,5,3926,2,525,3,4680,5,5689,5,5538,4,5272,7,,
370,5,5705,3,989,0,3711,8,5718,4,5993,5,1869,0,2018,5,,
371,5,485,2,443,8,420,4,5333,7,487,8,5405,7,2663,2,,
372,5,5733,1,2705,4,5291,2,3002,1,3020,2,4071,0,4054,4,,
